OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
23065,2005,CA,USF,BDF,BLAISDELL,00000000,2005/08/31 00:00:00+00,2005/08/31 00:00:00+00,5493,5491.78759766,1,32318015.7148188,30958.7494046268
24477,2003,CA,USF,LPF,PIRU,00000000,2003/10/23 00:00:00+00,2003/10/31 00:00:00+00,63720,63726.40625,1,380445240.936409,121405.910679874
24479,2003,CA,USF,BDF,OLD,00000000,2003/10/25 00:00:00+00,2003/11/15 00:00:00+00,91281,91428,1,542604557.944078,218778.177759378
24483,2003,CA,USF,MDF,ACKLEY,00000000,2003/07/26 00:00:00+00,2003/07/30 00:00:00+00,9940,9599.02050781,1,69834940.826477,52434.0764362731
25553,2004,CA,CCO,SBC,GAVIOTA,00004032,2004/06/05 00:00:00+00,2004/06/12 00:00:00+00,7443,7197.66992188,1,42975152.2354008,38604.140178119
25557,2004,CA,CCO,LAC,FOOTHILL,00146068,2004/07/17 00:00:00+00,2004/07/25 00:00:00+00,5969,5969.51806641,1,35544462.0239814,48433.9643936356
25558,2004,CA,USF,ANF,CROWN,00000000,2004/07/21 00:00:00+00,2004/07/25 00:00:00+00,11966,11754.265625,1,70129064.6009735,70154.7386715438
25560,2004,CA,CCO,LAC,PINE,00142168,2004/07/12 00:00:00+00,2004/07/23 00:00:00+00,16271,16271.65234375,1,97749222.6499062,111607.950972637
25561,2004,CA,CDF,RRU,CERRITO,00035517,2004/05/03 00:00:00+00,2004/05/07 00:00:00+00,16460,16447.3984375,1,96549302.9105712,86449.6394260718
25563,2004,CA,CDF,RRU,EAGLE,00035190,2004/05/02 00:00:00+00,2004/05/07 00:00:00+00,8831,8946.07421875,1,52179524.8883568,61593.23214162
28775,2003,CA,USF,TNF,CHILCOOT,00000000,2003/07/20 00:00:00+00,2003/07/21 00:00:00+00,5635,5641.61425781,1,38674171.3044245,42939.3406271126
29356,2006,CA,CDF,BEU,RICO,00002665,2006/07/22 00:00:00+00,2006/07/27 00:00:00+00,14507,14509.42480469,1,90015636.6131408,54830.1303146267
30260,2006,CA,CDF,FKU,3 ROCKS,FKU06657,2006/07/22 00:00:00+00,2006/07/22 00:00:00+00,9434.51,9434.875,1,59206126.6201986,61205.7450342304
30862,2004,CA,USF,ENF,FREDS,00000000,2004/10/13 00:00:00+00,2004/10/17 00:00:00+00,7700,7557.60742188,1,50410483.2177332,46266.7233957984
30863,2004,CA,USF,ENF,POWER,00000000,2004/10/06 00:00:00+00,2004/10/21 00:00:00+00,16823,16983.0703125,1,112390413.681789,83759.3115597295
31307,2004,NV,USF,HTF,GATES COMPLEX,A5TO,,,,8905.45898438,,59175787.6912194,47873.7177013712
32089,2003,CA,CCO,VNC,SIMI FIRE,03080724,2003/10/25 00:00:00+00,,107560,107570.3984375,1,639998036.002865,262024.542064606
32104,2003,CA,CDF,RRU,MOUNTAIN,00082809,2003/10/26 00:00:00+00,2003/11/08 00:00:00+00,10331,10331.39355469,1,60428056.9180722,42803.3817910737
32139,2002,CA,USF,PNF,BISCUIT,00000000,2002/07/13 00:00:00+00,2002/11/08 00:00:00+00,499945,501082.03125,1,3708702191.32695,545191.742546922
32216,2002,CA,DOD,AFV,SUDDEN,00000364,2002/06/15 00:00:00+00,2002/06/15 00:00:00+00,7502.14,7503.21484375,1,44869403.8002656,60121.1870088568
32315,2001,CA,CDF,MMU,CREEK FIRE,00014026,2001/08/18 00:00:00+00,2001/08/24 00:00:00+00,11095,11095.11914063,1,71985292.7056362,55090.0454772622
32316,2001,CA,CDF,TCU,LEONARD,00006112,2001/08/19 00:00:00+00,,,5188.44042969,1,34069496.9660599,34432.1670743549
32384,2002,CA,USF,TOI,CANNON,00000000,2002/06/15 00:00:00+00,2002/07/16 00:00:00+00,27000,26684.13476563,1,176504974.612682,97533.1977574894
32453,2001,CA,CCO,LAC,STABLES FIRE,00000002,2001/10/12 00:00:00+00,,,6401.86767578,1,38231266.7666851,56751.172692568
32488,2003,CA,USF,CNF,COYOTE,00000000,2003/07/16 00:00:00+00,2003/07/23 00:00:00+00,18704,18704.77929688,1,108866890.219715,68679.7045757596
32985,2001,CA,CDF,TCU,DARBY,00006632,2001/09/05 00:00:00+00,2001/09/24 00:00:00+00,14280,14280.47753906,1,93714351.8632612,58904.1354318356
33025,2001,CA,USF,MDF,BLUE,00000000,2001/08/08 00:00:00+00,2001/08/21 00:00:00+00,34319,34218.84765625,1,244702680.996809,96010.4456630754
33153,2002,CA,USF,BDF,LOUISIANA,00000000,2002/06/26 00:00:00+00,,6559,6564.21142578,1,39012218.3246614,37908.592804966
33154,2002,CA,USF,BDF,BLUE CUT,00000000,2002/06/16 00:00:00+00,2002/06/26 00:00:00+00,6864,6821.0390625,1,40560181.1214796,57147.8277298564
33298,2003,CA,USF,MNF,SPANISH,00000000,2003/09/27 00:00:00+00,2003/09/28 00:00:00+00,6058,6049.68652344,1,41330463.0813111,31767.3732848442
33326,2000,CA,CDF,TGU,WEINSTEIN,00003715,2000/09/29 00:00:00+00,,,8283.98632813,1,57042907.4285602,56168.7725822106
33338,2003,CA,CDF,SCU,DEVIL,00003581,2003/08/27 00:00:00+00,2003/09/18 00:00:00+00,5500,5444.27246094,1,35056577.5679501,30696.4643576071
33339,2003,CA,CDF,SCU,ANNIE,00003581,2003/08/27 00:00:00+00,2003/09/18 00:00:00+00,18500,18210.40039063,1,116454729.97971,70055.4429474323
33340,2003,CA,CDF,SCU,DEL_PUERTO_2,00002846,2003/07/20 00:00:00+00,2003/07/25 00:00:00+00,6100,5909.03808594,1,37990970.5887148,33952.0916741448
